Configuration: 0705_1
Duration: 0.400 s
Sample Rate: 50 kHz
ConfigID: 11
Comment: 
MeasurementID: 551
Result: NOK
Date: 11/18/2020 12:08:25 PM
User Comment: 
Index;Time;P Raw;Plasma;T Raw;Temp;BR Raw;BR;AN Power
0;0.000000;0.006;0.000;0.011;0.000;0.022;0.000;1.862
1;0.000020;0.006;0.000;0.011;0.000;0.011;0.000;3.105
2;0.000040;0.005;0.000;0.013;0.000;0.018;0.000;2.910
3;0.000060;0.006;0.000;0.011;0.000;0.060;0.000;2.939
4;0.000080;0.006;0.000;0.009;0.000;0.013;0.000;2.957
5;0.000100;0.005;0.000;0.011;0.000;0.009;0.000;2.943
6;0.000120;0.006;0.000;0.013;0.000;0.022;0.000;2.948
7;0.000140;0.006;0.000;0.011;0.000;0.031;0.000;2.953
8;0.000160;0.006;0.000;0.009;0.000;0.009;0.000;2.951
9;0.000180;0.005;0.000;0.011;0.000;0.015;0.000;2.950
10;0.000200;0.005;0.000;0.013;0.000;0.044;0.000;2.951
11;0.000220;0.006;0.000;0.011;0.000;0.035;0.000;2.947
12;0.000240;0.005;0.000;0.011;0.000;4.706;0.000;2.953
13;0.000260;0.074;0.000;0.013;0.000;21.019;0.002;2.949
14;0.000280;0.185;0.000;0.011;0.000;7.716;0.005;2.957
15;0.000300;0.268;0.000;0.220;0.000;5.381;0.010;2.946
16;0.000320;0.245;0.000;0.286;0.000;6.850;0.016;2.949
17;0.000340;0.149;0.000;0.264;0.000;7.500;0.023;2.952
18;0.000360;0.120;0.001;0.256;0.001;7.462;0.031;2.953
19;0.000380;0.151;0.001;0.264;0.001;6.052;0.040;2.952
20;0.000400;0.196;0.001;0.255;0.001;6.315;0.050;2.949
21;0.000420;0.230;0.001;0.302;0.001;5.524;0.061;2.946
22;0.000440;0.227;0.001;0.390;0.001;4.856;0.072;2.959
23;0.000460;0.241;0.002;0.458;0.002;4.504;0.084;2.951
24;0.000480;0.219;0.002;0.485;0.002;4.481;0.096;2.949
25;0.000500;0.190;0.002;0.502;0.003;4.689;0.109;2.949
26;0.000520;0.197;0.003;0.516;0.003;4.318;0.122;2.960
27;0.000540;0.188;0.003;0.487;0.004;3.957;0.135;2.950
28;0.000560;0.163;0.003;0.423;0.005;4.039;0.149;2.949
29;0.000580;0.176;0.004;0.383;0.005;3.790;0.164;2.950
30;0.000600;0.186;0.004;0.399;0.006;3.884;0.178;2.950
