Configuration: 0705_1
Duration: 0.400 s
Sample Rate: 50 kHz
ConfigID: 11
Comment: 
MeasurementID: 548
Result: NOK
Date: 11/18/2020 11:48:33 AM
User Comment: 
Index;Time;P Raw;Plasma;T Raw;Temp;BR Raw;BR;AN Power
0;0.000000;0.006;0.000;0.011;0.000;0.033;0.000;1.863
1;0.000020;0.006;0.000;0.011;0.000;0.016;0.000;2.806
2;0.000040;0.005;0.000;0.011;0.000;0.018;0.000;2.618
3;0.000060;0.006;0.000;0.013;0.000;0.035;0.000;2.657
4;0.000080;0.006;0.000;0.011;0.000;0.044;0.000;2.666
5;0.000100;0.006;0.000;0.011;0.000;0.011;0.000;2.659
6;0.000120;0.005;0.000;0.011;0.000;0.013;0.000;2.661
7;0.000140;0.005;0.000;0.013;0.000;0.037;0.000;2.661
8;0.000160;0.009;0.000;0.011;0.000;0.016;0.000;2.663
9;0.000180;0.005;0.000;0.011;0.000;0.007;0.000;2.662
10;0.000200;0.005;0.000;0.013;0.000;0.020;0.000;2.661
11;0.000220;0.005;0.000;0.013;0.000;0.049;0.000;2.662
12;0.000240;0.005;0.000;0.011;0.000;4.702;0.000;2.663
13;0.000260;0.066;0.000;0.011;0.000;16.291;0.002;2.662
14;0.000280;0.144;0.000;0.016;0.000;6.628;0.005;2.659
15;0.000300;0.148;0.000;0.185;0.000;5.310;0.009;2.661
16;0.000320;0.113;0.000;0.203;0.000;5.647;0.014;2.663
17;0.000340;0.094;0.000;0.176;0.000;6.454;0.020;2.661
18;0.000360;0.054;0.000;0.145;0.000;7.035;0.027;2.662
19;0.000380;0.086;0.000;0.161;0.001;5.436;0.034;2.663
20;0.000400;0.134;0.001;0.198;0.001;4.528;0.043;2.662
21;0.000420;0.160;0.001;0.211;0.001;4.623;0.052;2.662
22;0.000440;0.147;0.001;0.255;0.001;4.834;0.061;2.660
23;0.000460;0.146;0.001;0.328;0.001;4.144;0.071;2.662
24;0.000480;0.182;0.001;0.394;0.002;3.717;0.082;2.663
25;0.000500;0.179;0.001;0.452;0.002;3.955;0.093;2.661
26;0.000520;0.148;0.002;0.476;0.002;3.926;0.104;2.661
27;0.000540;0.135;0.002;0.476;0.003;4.014;0.116;2.663
28;0.000560;0.146;0.002;0.472;0.003;3.750;0.128;2.662
29;0.000580;0.129;0.003;0.423;0.004;3.373;0.141;2.662
30;0.000600;0.135;0.003;0.372;0.005;3.424;0.153;2.663
31;0.000620;0.142;0.003;0.359;0.005;3.430;0.166;2.662
32;0.000640;0.144;0.004;0.357;0.006;3.450;0.180;2.664
33;0.000660;0.142;0.004;0.350;0.007;3.864;0.194;2.662
34;0.000680;0.104;0.004;0.346;0.008;4.191;0.208;2.662
35;0.000700;0.123;0.005;0.350;0.009;4.567;0.222;2.663
36;0.000720;0.120;0.005;0.333;0.010;4.422;0.237;2.663
37;0.000740;0.108;0.005;0.311;0.011;3.853;0.252;2.661
38;0.000760;0.102;0.006;0.315;0.012;3.869;0.267;2.662
39;0.000780;0.099;0.006;0.284;0.013;3.816;0.283;2.664
40;0.000800;0.096;0.007;0.251;0.014;3.777;0.299;2.662
41;0.000820;0.118;0.007;0.280;0.015;3.792;0.315;2.661
42;0.000840;0.133;0.008;0.337;0.016;4.003;0.332;2.664
43;0.000860;0.107;0.008;0.350;0.017;4.100;0.349;2.663
44;0.000880;0.101;0.009;0.315;0.018;3.986;0.366;2.663
45;0.000900;0.102;0.009;0.309;0.019;3.719;0.383;2.661
46;0.000920;0.110;0.009;0.337;0.020;3.415;0.401;2.662
47;0.000940;0.093;0.010;0.322;0.022;3.757;0.419;2.665
48;0.000960;0.085;0.010;0.262;0.023;3.605;0.437;2.662
49;0.000980;0.084;0.011;0.236;0.024;3.664;0.455;2.660
50;0.001000;0.090;0.011;0.245;0.025;4.003;0.473;2.664
51;0.001020;0.111;0.012;0.244;0.027;4.307;0.492;2.664
52;0.001040;0.103;0.012;0.229;0.028;3.929;0.511;2.662
53;0.001060;0.106;0.013;0.240;0.029;3.902;0.530;2.663
54;0.001080;0.126;0.013;0.280;0.030;4.056;0.549;2.664
55;0.001100;0.123;0.014;0.295;0.032;4.037;0.569;2.664
56;0.001120;0.085;0.015;0.293;0.033;4.232;0.588;2.661
57;0.001140;0.106;0.015;0.317;0.035;4.451;0.608;2.661
58;0.001160;0.126;0.016;0.335;0.036;4.636;0.628;2.662
59;0.001180;0.103;0.016;0.319;0.037;4.431;0.649;2.663
60;0.001200;0.078;0.017;0.284;0.039;4.067;0.669;2.661
61;0.001220;0.103;0.017;0.276;0.040;3.679;0.690;2.661
62;0.001240;0.127;0.018;0.328;0.042;3.644;0.711;2.663
63;0.001260;0.125;0.018;0.317;0.043;3.668;0.732;2.663
64;0.001280;0.107;0.019;0.264;0.045;4.144;0.753;2.662
65;0.001300;0.088;0.019;0.251;0.046;3.719;0.774;2.663
66;0.001320;0.077;0.020;0.222;0.048;4.083;0.796;2.663
67;0.001340;0.131;0.021;0.229;0.049;4.327;0.817;2.661
68;0.001360;0.148;0.021;0.258;0.051;3.649;0.839;2.661
69;0.001380;0.131;0.022;0.284;0.052;3.928;0.860;2.662
70;0.001400;0.135;0.022;0.295;0.054;4.497;0.882;2.663
71;0.001420;0.122;0.023;0.267;0.055;4.763;0.904;2.661
72;0.001440;0.100;0.024;0.236;0.057;4.722;0.926;2.661
73;0.001460;0.144;0.024;0.236;0.058;4.614;0.949;2.663
