Configuration: 0705_1
Duration: 0.400 s
Sample Rate: 50 kHz
ConfigID: 11
Comment: 007_2
MeasurementID: 530
Result: NOK
Date: 10/22/2020 4:00:35 PM
User Comment: 
Index;Time;P Raw;P Eps;T Raw;T Eps;BR Raw;BR Eps;AN Power
0;0.000000;0.006;0.000;0.011;0.000;0.011;0.000;2.932
1;0.000020;0.006;0.000;0.011;0.000;0.048;0.000;3.560
2;0.000040;0.006;0.000;0.011;0.000;0.013;0.000;3.366
3;0.000060;0.006;0.000;0.009;0.000;0.011;0.000;3.430
4;0.000080;0.005;0.000;0.013;0.000;0.018;0.000;3.424
5;0.000100;0.006;0.000;0.013;0.000;0.053;0.000;3.421
6;0.000120;0.006;0.000;0.009;0.000;0.027;0.000;3.425
7;0.000140;0.005;0.000;0.011;0.000;0.013;0.000;3.424
8;0.000160;0.006;0.000;0.013;0.000;0.016;0.000;3.423
9;0.000180;0.005;0.000;0.011;0.000;0.044;0.000;3.426
10;0.000200;0.005;0.000;0.009;0.000;0.011;0.000;3.426
11;0.000220;0.005;0.000;0.011;0.000;0.007;0.000;3.425
12;0.000240;0.020;0.000;0.013;0.000;7.553;0.001;3.425
13;0.000260;0.088;0.000;0.011;0.000;10.472;0.002;3.425
14;0.000280;0.146;0.000;0.143;0.000;4.893;0.005;3.426
15;0.000300;0.140;0.000;0.163;0.000;5.786;0.008;3.424
16;0.000320;0.104;0.000;0.185;0.000;5.669;0.012;3.425
17;0.000340;0.103;0.000;0.203;0.000;5.305;0.018;3.427
18;0.000360;0.126;0.000;0.189;0.001;5.764;0.024;3.427
19;0.000380;0.110;0.001;0.165;0.001;5.739;0.030;3.424
20;0.000400;0.126;0.001;0.174;0.001;5.453;0.038;3.426
21;0.000420;0.168;0.001;0.183;0.001;4.786;0.046;3.427
22;0.000440;0.137;0.001;0.165;0.001;4.658;0.055;3.426
23;0.000460;0.088;0.001;0.132;0.002;4.969;0.064;3.424
24;0.000480;0.098;0.001;0.152;0.002;5.021;0.074;3.426
25;0.000500;0.154;0.002;0.207;0.002;4.411;0.085;3.426
26;0.000520;0.217;0.002;0.251;0.002;4.235;0.096;3.427
27;0.000540;0.268;0.002;0.300;0.003;4.065;0.107;3.425
28;0.000560;0.194;0.002;0.361;0.003;4.241;0.119;3.426
29;0.000580;0.157;0.003;0.344;0.004;4.210;0.132;3.427
30;0.000600;0.145;0.003;0.286;0.004;4.561;0.145;3.425
31;0.000620;0.153;0.003;0.295;0.005;4.233;0.158;3.424
32;0.000640;0.166;0.004;0.363;0.005;4.536;0.171;3.427
33;0.000660;0.172;0.004;0.385;0.006;4.226;0.186;3.427
34;0.000680;0.157;0.005;0.390;0.006;3.994;0.200;3.425
35;0.000700;0.150;0.005;0.438;0.007;4.127;0.215;3.427
36;0.000720;0.142;0.005;0.478;0.008;4.473;0.230;3.426
37;0.000740;0.113;0.006;0.445;0.009;4.473;0.246;3.427
38;0.000760;0.081;0.006;0.359;0.009;4.385;0.262;3.426
39;0.000780;0.086;0.007;0.326;0.010;4.761;0.278;3.424
40;0.000800;0.097;0.007;0.330;0.011;4.677;0.295;3.427
41;0.000820;0.095;0.008;0.298;0.012;4.611;0.312;3.427
42;0.000840;0.122;0.008;0.324;0.013;4.493;0.329;3.425
43;0.000860;0.124;0.009;0.406;0.014;4.380;0.347;3.426
44;0.000880;0.105;0.009;0.416;0.015;4.230;0.365;3.428
45;0.000900;0.106;0.010;0.370;0.016;4.623;0.384;3.426
46;0.000920;0.103;0.010;0.355;0.018;4.314;0.403;3.425
47;0.000940;0.116;0.011;0.350;0.019;4.490;0.422;3.426
48;0.000960;0.129;0.011;0.337;0.020;4.314;0.441;3.426
49;0.000980;0.128;0.012;0.311;0.021;4.351;0.461;3.426
50;0.001000;0.159;0.013;0.341;0.023;4.411;0.481;3.426
51;0.001020;0.180;0.013;0.399;0.024;4.482;0.501;3.426
52;0.001040;0.153;0.014;0.399;0.025;4.303;0.521;3.428
53;0.001060;0.145;0.014;0.359;0.026;4.219;0.542;3.426
54;0.001080;0.111;0.015;0.350;0.028;4.138;0.563;3.426
55;0.001100;0.104;0.015;0.372;0.029;4.270;0.584;3.426
56;0.001120;0.127;0.016;0.359;0.031;4.243;0.605;3.428
57;0.001140;0.103;0.017;0.297;0.032;4.186;0.627;3.425
58;0.001160;0.081;0.017;0.280;0.034;3.928;0.648;3.425
59;0.001180;0.113;0.018;0.273;0.035;4.279;0.670;3.427
60;0.001200;0.157;0.019;0.276;0.037;4.576;0.692;3.427
61;0.001220;0.161;0.019;0.317;0.038;4.206;0.714;3.424
62;0.001240;0.191;0.020;0.439;0.040;4.349;0.736;3.425
63;0.001260;0.172;0.020;0.538;0.041;4.475;0.759;3.427
64;0.001280;0.133;0.021;0.531;0.043;5.182;0.782;3.426
65;0.001300;0.094;0.022;0.449;0.045;5.305;0.805;3.424
66;0.001320;0.097;0.022;0.375;0.046;5.480;0.828;3.427
67;0.001340;0.134;0.023;0.353;0.048;5.392;0.852;3.427
68;0.001360;0.161;0.024;0.374;0.050;4.180;0.875;3.426
69;0.001380;0.182;0.024;0.432;0.052;4.438;0.899;3.426
70;0.001400;0.194;0.025;0.504;0.053;4.409;0.924;3.426
71;0.001420;0.201;0.026;0.520;0.055;4.739;0.948;3.427
72;0.001440;0.148;0.027;0.463;0.057;4.047;0.972;3.427
73;0.001460;0.135;0.027;0.450;0.059;4.129;0.997;3.424
74;0.001480;0.155;0.028;0.461;0.061;4.378;1.021;3.427
75;0.001500;0.155;0.029;0.439;0.063;4.492;1.046;3.429
76;0.001520;0.132;0.030;0.414;0.065;5.089;1.071;3.425
77;0.001540;0.162;0.030;0.416;0.067;5.008;1.095;3.427
78;0.001560;0.202;0.031;0.423;0.069;5.228;1.120;3.428
79;0.001580;0.370;0.032;0.428;0.071;4.691;1.146;3.426
80;0.001600;0.378;0.033;0.445;0.073;4.047;1.171;3.426
81;0.001620;0.270;0.034;0.445;0.075;4.517;1.197;3.427
82;0.001640;0.253;0.034;0.438;0.077;4.488;1.222;3.426
