Configuration: 0703
Duration: 0.300 s
Sample Rate: 50 kHz
ConfigID: 7
Comment: 
MeasurementID: 348
Result: NOK
Date: 8/28/2020 2:22:23 PM
User Comment: 
Index;Time;P Raw;P Eps;T Raw;T Eps;BR Raw;BR Eps;AN Power
0;0.000000;0.006;0.000;0.011;0.000;0.060;0.000;1.920
1;0.000020;0.005;0.000;0.009;0.000;0.016;0.000;3.582
2;0.000040;0.005;0.000;0.011;0.000;0.013;0.000;3.394
3;0.000060;0.006;0.000;0.013;0.000;0.024;0.000;3.402
4;0.000080;0.006;0.000;0.011;0.000;0.049;0.000;3.431
5;0.000100;0.006;0.000;0.009;0.000;0.007;0.000;3.419
6;0.000120;0.005;0.000;0.011;0.000;0.013;0.000;3.421
7;0.000140;0.006;0.000;0.013;0.000;0.044;0.000;3.422
8;0.000160;0.005;0.000;0.011;0.000;0.022;0.000;3.423
9;0.000180;0.005;0.000;0.011;0.000;0.011;0.000;3.424
10;0.000200;0.006;0.000;0.011;0.000;0.016;0.000;3.423
11;0.000220;0.005;0.000;0.013;0.000;0.044;0.000;3.423
12;0.000240;0.005;0.000;0.011;0.000;3.267;0.000;3.424
13;0.000260;0.056;0.000;0.011;0.000;13.211;0.001;3.424
14;0.000280;0.092;0.000;0.082;0.000;6.216;0.004;3.424
15;0.000300;0.093;0.000;0.167;0.000;5.515;0.007;3.424
16;0.000320;0.076;0.000;0.194;0.000;5.032;0.012;3.425
17;0.000340;0.103;0.000;0.183;0.000;4.268;0.017;3.422
18;0.000360;0.111;0.000;0.189;0.000;4.896;0.022;3.422
19;0.000380;0.096;0.000;0.212;0.001;4.858;0.028;3.424
20;0.000400;0.104;0.001;0.205;0.001;4.449;0.035;3.425
21;0.000420;0.114;0.001;0.168;0.001;4.246;0.043;3.423
22;0.000440;0.135;0.001;0.187;0.001;3.990;0.051;3.425
23;0.000460;0.183;0.001;0.222;0.001;4.144;0.059;3.425
24;0.000480;0.145;0.001;0.207;0.002;4.153;0.068;3.425
25;0.000500;0.084;0.001;0.187;0.002;4.860;0.078;3.424
26;0.000520;0.101;0.001;0.216;0.002;4.623;0.088;3.422
27;0.000540;0.103;0.002;0.278;0.003;4.759;0.099;3.423
28;0.000560;0.137;0.002;0.304;0.003;4.887;0.110;3.424
29;0.000580;0.195;0.002;0.330;0.004;4.882;0.121;3.422
30;0.000600;0.141;0.002;0.346;0.004;4.645;0.134;3.423
31;0.000620;0.111;0.003;0.348;0.005;4.272;0.146;3.426
32;0.000640;0.114;0.003;0.352;0.005;4.094;0.159;3.424
33;0.000660;0.094;0.003;0.405;0.006;3.494;0.173;3.424
34;0.000680;0.093;0.004;0.425;0.006;4.228;0.187;3.426
35;0.000700;0.094;0.004;0.425;0.007;4.761;0.201;3.424
36;0.000720;0.087;0.004;0.408;0.008;4.766;0.216;3.426
37;0.000740;0.087;0.005;0.388;0.009;4.308;0.231;3.422
38;0.000760;0.085;0.005;0.412;0.010;4.171;0.246;3.422
39;0.000780;0.114;0.005;0.452;0.011;4.501;0.262;3.426
40;0.000800;0.098;0.006;0.452;0.011;4.594;0.278;3.423
41;0.000820;0.088;0.006;0.419;0.013;4.775;0.295;3.423
42;0.000840;0.114;0.007;0.452;0.014;4.957;0.312;3.426
43;0.000860;0.119;0.007;0.469;0.015;5.046;0.329;3.426
44;0.000880;0.091;0.007;0.436;0.016;4.526;0.347;3.423
45;0.000900;0.091;0.008;0.406;0.017;4.832;0.365;3.423
46;0.000920;0.110;0.008;0.423;0.018;4.818;0.384;3.426
47;0.000940;0.113;0.009;0.436;0.020;4.695;0.403;3.424
48;0.000960;0.102;0.009;0.396;0.021;4.506;0.422;3.424
49;0.000980;0.091;0.009;0.361;0.022;4.818;0.442;3.423
50;0.001000;0.124;0.010;0.374;0.024;5.229;0.462;3.423
