Configuration: 0703
Duration: 0.300 s
Sample Rate: 50 kHz
ConfigID: 7
Comment: 
MeasurementID: 341
Result: NOK
Date: 8/28/2020 1:43:31 PM
User Comment: 
Index;Time;P Raw;P Eps;T Raw;T Eps;BR Raw;BR Eps;AN Power
0;0.000000;0.005;0.000;0.009;0.000;0.015;0.000;1.329
1;0.000020;0.005;0.000;0.011;0.000;0.015;0.000;3.468
2;0.000040;0.006;0.000;0.013;0.000;0.038;0.000;3.445
3;0.000060;0.006;0.000;0.011;0.000;0.057;0.000;3.386
4;0.000080;0.006;0.000;0.009;0.000;0.011;0.000;3.431
5;0.000100;0.006;0.000;0.011;0.000;0.013;0.000;3.418
6;0.000120;0.006;0.000;0.013;0.000;0.029;0.000;3.423
7;0.000140;0.006;0.000;0.011;0.000;0.035;0.000;3.423
8;0.000160;0.005;0.000;0.011;0.000;0.007;0.000;3.423
9;0.000180;0.005;0.000;0.013;0.000;0.016;0.000;3.423
10;0.000200;0.006;0.000;0.013;0.000;0.049;0.000;3.422
11;0.000220;0.006;0.000;0.011;0.000;0.018;0.000;3.423
12;0.000240;0.005;0.000;0.011;0.000;1.346;0.000;3.424
13;0.000260;0.048;0.000;0.013;0.000;15.533;0.001;3.420
14;0.000280;0.110;0.000;0.011;0.000;8.179;0.004;3.422
15;0.000300;0.132;0.000;0.205;0.000;5.164;0.007;3.425
16;0.000320;0.104;0.000;0.214;0.000;6.328;0.012;3.423
17;0.000340;0.101;0.000;0.214;0.000;5.341;0.018;3.422
18;0.000360;0.132;0.000;0.240;0.000;5.327;0.024;3.424
19;0.000380;0.117;0.000;0.247;0.001;5.193;0.031;3.424
20;0.000400;0.076;0.001;0.200;0.001;4.612;0.038;3.422
21;0.000420;0.057;0.001;0.176;0.001;4.263;0.047;3.421
22;0.000440;0.101;0.001;0.192;0.001;4.005;0.056;3.423
23;0.000460;0.121;0.001;0.185;0.002;4.420;0.065;3.425
24;0.000480;0.088;0.001;0.154;0.002;5.131;0.075;3.423
25;0.000500;0.067;0.001;0.156;0.002;5.678;0.085;3.423
26;0.000520;0.079;0.002;0.183;0.002;4.863;0.096;3.424
27;0.000540;0.136;0.002;0.225;0.003;4.156;0.108;3.424
28;0.000560;0.211;0.002;0.311;0.003;3.798;0.120;3.422
29;0.000580;0.203;0.002;0.432;0.004;3.968;0.132;3.423
30;0.000600;0.188;0.002;0.571;0.004;4.140;0.145;3.425
31;0.000620;0.129;0.003;0.580;0.005;4.512;0.158;3.425
32;0.000640;0.098;0.003;0.491;0.005;4.316;0.172;3.423
33;0.000660;0.114;0.003;0.439;0.006;4.065;0.186;3.423
34;0.000680;0.159;0.004;0.493;0.007;4.651;0.200;3.424
35;0.000700;0.157;0.004;0.509;0.008;4.700;0.215;3.423
36;0.000720;0.125;0.004;0.467;0.008;4.598;0.230;3.423
37;0.000740;0.096;0.005;0.450;0.009;4.541;0.246;3.423
38;0.000760;0.092;0.005;0.419;0.010;4.742;0.262;3.424
39;0.000780;0.073;0.006;0.352;0.011;4.790;0.279;3.424
40;0.000800;0.076;0.006;0.339;0.013;5.482;0.296;3.423
