Configuration: 0703
Duration: 0.300 s
Sample Rate: 50 kHz
ConfigID: 7
Comment: 
MeasurementID: 355
Result: NOK
Date: 8/28/2020 2:54:46 PM
User Comment: 
Index;Time;P Raw;P Eps;T Raw;T Eps;BR Raw;BR Eps;AN Power
86;0.001720;0.191;0.029;0.533;0.097;3.430;1.306;3.424
87;0.001740;0.218;0.030;0.573;0.099;3.576;1.331;3.426
88;0.001760;0.168;0.031;0.551;0.102;3.693;1.356;3.426
89;0.001780;0.105;0.032;0.500;0.104;3.428;1.381;3.423
90;0.001800;0.108;0.032;0.487;0.107;4.061;1.406;3.425
91;0.001820;0.110;0.033;0.476;0.109;3.933;1.430;3.426
92;0.001840;0.095;0.034;0.432;0.112;3.463;1.455;3.423
93;0.001860;0.136;0.034;0.414;0.114;3.512;1.479;3.423
94;0.001880;0.247;0.035;0.454;0.117;3.333;1.504;3.427
95;0.001900;0.212;0.036;0.465;0.119;3.668;1.528;3.424
96;0.001920;0.153;0.036;0.434;0.122;3.457;1.552;3.423
97;0.001940;0.150;0.037;0.428;0.124;3.021;1.576;3.424
98;0.001960;0.158;0.038;0.478;0.127;3.426;1.600;3.424
99;0.001980;0.146;0.039;0.469;0.129;4.063;1.624;3.427
100;0.002000;0.128;0.039;0.432;0.132;4.032;1.648;3.423
101;0.002020;0.112;0.040;0.419;0.134;3.290;1.671;3.422
102;0.002040;0.107;0.041;0.408;0.137;2.840;1.695;3.426
103;0.002060;0.091;0.042;0.364;0.139;3.018;1.718;3.423
104;0.002080;0.109;0.042;0.390;0.142;3.012;1.741;3.423
105;0.002100;0.142;0.043;0.450;0.144;3.351;1.764;3.425
106;0.002120;0.146;0.044;0.458;0.147;3.362;1.786;3.425
107;0.002140;0.166;0.045;0.471;0.150;3.400;1.809;3.424
108;0.002160;0.158;0.045;0.454;0.152;2.871;1.831;3.423
109;0.002180;0.206;0.046;0.524;0.155;2.510;1.853;3.424
110;0.002200;0.225;0.047;0.612;0.157;2.283;1.875;3.425
111;0.002220;0.184;0.048;0.623;0.160;2.862;1.897;3.424
112;0.002240;0.213;0.049;0.639;0.162;3.164;1.918;3.423
113;0.002260;0.230;0.049;0.705;0.165;2.499;1.939;3.424
114;0.002280;0.189;0.050;0.703;0.168;2.926;1.960;3.426
115;0.002300;0.168;0.051;0.676;0.170;2.921;1.981;3.422
116;0.002320;0.235;0.052;0.707;0.173;3.334;2.001;3.423
117;0.002340;0.428;0.053;0.877;0.176;2.888;2.021;3.426
118;0.002360;0.448;0.054;1.066;0.179;2.635;2.041;3.423
119;0.002380;0.404;0.055;1.137;0.182;3.171;2.061;3.423
120;0.002400;0.344;0.056;1.166;0.185;3.431;2.081;3.423
121;0.002420;0.232;0.057;1.141;0.188;3.464;2.100;3.424
122;0.002440;0.147;0.058;1.047;0.191;3.430;2.119;3.426
123;0.002460;0.110;0.059;0.932;0.194;3.329;2.139;3.422
124;0.002480;0.102;0.060;0.857;0.198;3.713;2.158;3.424
125;0.002500;0.121;0.060;0.815;0.201;4.285;2.177;3.425
126;0.002520;0.134;0.061;0.787;0.205;3.717;2.196;3.424
127;0.002540;0.168;0.062;0.820;0.208;3.589;2.214;3.423
128;0.002560;0.160;0.063;0.948;0.212;3.521;2.233;3.424
129;0.002580;0.189;0.064;1.148;0.215;3.550;2.252;3.425
130;0.002600;0.153;0.065;1.168;0.219;2.679;2.270;3.425
131;0.002620;0.107;0.066;1.055;0.223;3.470;2.288;3.423
132;0.002640;0.102;0.067;0.989;0.226;3.148;2.307;3.425
133;0.002660;0.108;0.068;0.899;0.230;3.543;2.325;3.426
134;0.002680;0.083;0.069;0.804;0.234;4.118;2.342;3.425
135;0.002700;0.084;0.070;0.742;0.238;3.940;2.360;3.423
136;0.002720;0.098;0.071;0.701;0.242;3.701;2.378;3.425
137;0.002740;0.093;0.072;0.668;0.246;3.519;2.395;3.427
138;0.002760;0.094;0.073;0.677;0.250;3.787;2.413;3.423
139;0.002780;0.098;0.074;0.712;0.254;4.069;2.430;3.424
140;0.002800;0.102;0.074;0.734;0.258;4.338;2.447;3.423
141;0.002820;0.087;0.075;0.694;0.261;4.645;2.465;3.425
142;0.002840;0.083;0.076;0.615;0.265;4.281;2.482;3.425
143;0.002860;0.103;0.077;0.599;0.269;4.140;2.499;3.422
144;0.002880;0.109;0.078;0.626;0.273;3.876;2.516;3.426
145;0.002900;0.097;0.079;0.588;0.277;4.048;2.534;3.426
146;0.002920;0.087;0.079;0.536;0.281;4.019;2.551;3.423
147;0.002940;0.081;0.080;0.526;0.285;4.169;2.568;3.425
148;0.002960;0.106;0.081;0.531;0.288;3.926;2.585;3.426
149;0.002980;0.097;0.082;0.520;0.292;3.528;2.602;3.423
150;0.003000;0.083;0.082;0.493;0.296;3.798;2.618;3.422
151;0.003020;0.084;0.083;0.489;0.300;4.036;2.635;3.424
152;0.003040;0.104;0.084;0.480;0.303;4.131;2.652;3.424
153;0.003060;0.093;0.085;0.463;0.307;4.541;2.668;3.425
154;0.003080;0.088;0.085;0.447;0.311;4.210;2.684;3.424
155;0.003100;0.097;0.086;0.452;0.314;4.424;2.701;3.424
156;0.003120;0.106;0.087;0.461;0.318;4.682;2.717;3.425
157;0.003140;0.109;0.087;0.434;0.321;4.704;2.734;3.424
158;0.003160;0.090;0.088;0.408;0.325;4.076;2.750;3.422
159;0.003180;0.095;0.089;0.423;0.328;3.578;2.767;3.426
160;0.003200;0.105;0.089;0.423;0.331;4.415;2.783;3.424
161;0.003220;0.095;0.090;0.428;0.335;4.254;2.799;3.423
162;0.003240;0.103;0.091;0.454;0.338;3.532;2.815;3.424
163;0.003260;0.115;0.091;0.452;0.341;4.373;2.831;3.423
164;0.003280;0.121;0.092;0.434;0.344;4.367;2.847;3.425
165;0.003300;0.092;0.092;0.432;0.347;4.010;2.863;3.423
166;0.003320;0.108;0.093;0.487;0.350;4.224;2.879;3.423
167;0.003340;0.098;0.093;0.520;0.353;4.107;2.894;3.425
168;0.003360;0.109;0.094;0.511;0.356;4.484;2.910;3.425
169;0.003380;0.106;0.095;0.489;0.359;4.644;2.926;3.423
170;0.003400;0.097;0.095;0.474;0.362;4.653;2.941;3.423
171;0.003420;0.114;0.096;0.463;0.365;4.059;2.957;3.425
172;0.003440;0.118;0.096;0.460;0.368;3.728;2.972;3.424
173;0.003460;0.131;0.097;0.480;0.371;3.532;2.987;3.424
174;0.003480;0.144;0.097;0.573;0.374;4.318;3.003;3.424
175;0.003500;0.171;0.098;0.641;0.377;3.444;3.018;3.423
176;0.003520;0.181;0.098;0.641;0.379;3.591;3.033;3.425
177;0.003540;0.162;0.099;0.656;0.382;3.384;3.047;3.423
178;0.003560;0.159;0.099;0.656;0.385;4.136;3.062;3.423
179;0.003580;0.152;0.100;0.612;0.388;4.058;3.076;3.427
180;0.003600;0.130;0.100;0.551;0.391;3.765;3.090;3.424
181;0.003620;0.115;0.101;0.513;0.393;3.779;3.105;3.423
182;0.003640;0.106;0.102;0.487;0.396;4.358;3.119;3.427
183;0.003660;0.098;0.102;0.447;0.399;4.347;3.133;3.425
184;0.003680;0.081;0.103;0.401;0.401;4.666;3.146;3.424
185;0.003700;0.140;0.103;0.412;0.404;4.420;3.160;3.425
186;0.003720;0.209;0.103;0.491;0.406;4.250;3.174;3.425
187;0.003740;0.190;0.104;0.518;0.409;3.146;3.188;3.425
188;0.003760;0.173;0.104;0.520;0.411;3.023;3.201;3.424
189;0.003780;0.171;0.105;0.555;0.414;3.635;3.215;3.424
190;0.003800;0.164;0.105;0.577;0.416;3.743;3.228;3.426
191;0.003820;0.160;0.106;0.555;0.419;3.104;3.241;3.426
192;0.003840;0.138;0.106;0.515;0.421;3.453;3.253;3.422
193;0.003860;0.134;0.107;0.524;0.423;3.215;3.266;3.423
194;0.003880;0.158;0.107;0.569;0.426;2.891;3.278;3.426
195;0.003900;0.178;0.108;0.584;0.428;3.234;3.290;3.424
196;0.003920;0.234;0.108;0.628;0.430;2.941;3.302;3.425
197;0.003940;0.295;0.109;0.687;0.433;2.875;3.313;3.424
198;0.003960;0.311;0.109;0.694;0.435;3.193;3.325;3.427
199;0.003980;0.263;0.110;0.683;0.437;3.303;3.336;3.427
200;0.004000;0.168;0.111;0.632;0.440;2.899;3.347;3.422
201;0.004020;0.128;0.111;0.597;0.442;3.437;3.357;3.426
202;0.004040;0.173;0.112;0.604;0.444;3.547;3.368;3.427
203;0.004060;0.179;0.112;0.593;0.446;2.840;3.378;3.423
204;0.004080;0.191;0.113;0.619;0.449;2.673;3.388;3.424
205;0.004100;0.244;0.113;0.709;0.451;3.014;3.397;3.426
206;0.004120;0.201;0.114;0.731;0.453;3.014;3.407;3.425
207;0.004140;0.166;0.115;0.712;0.455;2.723;3.416;3.424
208;0.004160;0.147;0.115;0.703;0.458;2.591;3.425;3.424
209;0.004180;0.170;0.116;0.698;0.460;2.856;3.434;3.423
210;0.004200;0.141;0.116;0.645;0.462;2.679;3.442;3.427
211;0.004220;0.128;0.117;0.599;0.464;2.465;3.450;3.424
212;0.004240;0.174;0.117;0.606;0.466;2.723;3.458;3.423
213;0.004260;0.223;0.118;0.634;0.469;2.710;3.466;3.426
214;0.004280;0.208;0.118;0.654;0.471;2.439;3.473;3.424
215;0.004300;0.186;0.119;0.667;0.473;2.672;3.480;3.423
216;0.004320;0.179;0.120;0.736;0.475;2.834;3.487;3.427
217;0.004340;0.158;0.120;0.756;0.477;2.910;3.493;3.424
218;0.004360;0.184;0.121;0.780;0.479;3.241;3.500;3.423
219;0.004380;0.233;0.121;0.872;0.482;2.878;3.506;3.424
220;0.004400;0.246;0.122;1.009;0.484;2.212;3.512;3.423
221;0.004420;0.199;0.122;1.064;0.486;2.717;3.518;3.426
222;0.004440;0.157;0.123;1.033;0.488;3.010;3.523;3.424
223;0.004460;0.155;0.123;1.051;0.491;3.243;3.529;3.422
224;0.004480;0.160;0.124;1.089;0.493;3.636;3.534;3.425
225;0.004500;0.204;0.125;1.093;0.495;3.290;3.539;3.427
226;0.004520;0.212;0.125;1.073;0.498;2.933;3.544;3.422
227;0.004540;0.202;0.126;1.139;0.500;3.041;3.549;3.423
228;0.004560;0.208;0.126;1.208;0.503;3.254;3.553;3.425
229;0.004580;0.188;0.127;1.155;0.506;3.263;3.558;3.423
230;0.004600;0.145;0.127;1.046;0.508;3.025;3.562;3.425
231;0.004620;0.107;0.128;0.930;0.511;3.263;3.566;3.423
232;0.004640;0.152;0.129;0.908;0.514;3.649;3.570;3.424
233;0.004660;0.157;0.129;0.936;0.517;3.887;3.574;3.427
234;0.004680;0.138;0.130;0.947;0.519;3.889;3.578;3.423
235;0.004700;0.130;0.130;0.943;0.522;3.254;3.582;3.423
236;0.004720;0.135;0.131;0.976;0.525;3.138;3.586;3.427
237;0.004740;0.158;0.131;1.024;0.528;2.979;3.590;3.424
238;0.004760;0.126;0.132;0.991;0.531;2.582;3.593;3.423
239;0.004780;0.111;0.132;0.910;0.534;3.138;3.597;3.424
240;0.004800;0.124;0.133;0.861;0.537;4.305;3.600;3.425
241;0.004820;0.153;0.133;0.853;0.539;3.834;3.603;3.425
242;0.004840;0.146;0.134;0.906;0.542;3.281;3.606;3.423
243;0.004860;0.152;0.134;0.994;0.545;3.710;3.609;3.424
244;0.004880;0.139;0.135;1.018;0.548;2.930;3.613;3.425
245;0.004900;0.116;0.135;0.959;0.551;3.516;3.615;3.425
246;0.004920;0.109;0.135;0.905;0.554;4.301;3.618;3.422
247;0.004940;0.133;0.136;0.883;0.557;3.519;3.621;3.425
248;0.004960;0.146;0.136;0.862;0.560;3.391;3.624;3.425
249;0.004980;0.121;0.137;0.798;0.563;3.413;3.627;3.422
250;0.005000;0.104;0.137;0.749;0.566;4.124;3.630;3.423
251;0.005020;0.106;0.138;0.721;0.569;4.149;3.632;3.423
252;0.005040;0.116;0.138;0.670;0.572;4.028;3.635;3.426
253;0.005060;0.101;0.138;0.604;0.574;4.182;3.638;3.424
254;0.005080;0.106;0.139;0.577;0.577;4.197;3.640;3.423
255;0.005100;0.098;0.139;0.540;0.580;4.118;3.643;3.425
256;0.005120;0.088;0.139;0.491;0.583;4.096;3.646;3.425
257;0.005140;0.083;0.140;0.456;0.585;3.757;3.649;3.422
258;0.005160;0.102;0.140;0.452;0.588;3.920;3.652;3.424
259;0.005180;0.115;0.140;0.458;0.590;4.146;3.655;3.426
260;0.005200;0.108;0.140;0.461;0.593;3.625;3.658;3.424
261;0.005220;0.135;0.141;0.467;0.595;3.382;3.660;3.422
262;0.005240;0.162;0.141;0.522;0.598;3.571;3.663;3.426
263;0.005260;0.164;0.141;0.582;0.600;3.470;3.666;3.424
264;0.005280;0.148;0.142;0.580;0.602;4.109;3.668;3.425
265;0.005300;0.131;0.142;0.571;0.604;4.656;3.671;3.424
266;0.005320;0.142;0.142;0.590;0.606;4.792;3.674;3.423
267;0.005340;0.155;0.142;0.597;0.608;5.145;3.676;3.426
268;0.005360;0.165;0.143;0.588;0.611;3.633;3.679;3.422
269;0.005380;0.168;0.143;0.604;0.613;3.845;3.682;3.422
270;0.005400;0.184;0.143;0.632;0.614;4.695;3.685;3.425
271;0.005420;0.176;0.143;0.652;0.616;4.213;3.688;3.424
272;0.005440;0.179;0.144;0.672;0.618;3.977;3.691;3.424
273;0.005460;0.165;0.144;0.707;0.620;3.986;3.694;3.424
274;0.005480;0.169;0.144;0.729;0.622;4.475;3.697;3.423
275;0.005500;0.158;0.144;0.716;0.624;3.948;3.700;3.426
276;0.005520;0.153;0.145;0.670;0.626;3.382;3.704;3.423
277;0.005540;0.170;0.145;0.657;0.628;3.633;3.707;3.423
278;0.005560;0.278;0.145;0.687;0.629;3.525;3.709;3.425
279;0.005580;0.377;0.145;0.732;0.631;3.891;3.712;3.425
280;0.005600;0.343;0.146;0.742;0.633;4.254;3.715;3.423
281;0.005620;0.314;0.146;0.765;0.635;3.776;3.718;3.423
282;0.005640;0.246;0.146;0.809;0.636;2.485;3.721;3.426
283;0.005660;0.134;0.147;0.789;0.638;3.007;3.723;3.423
284;0.005680;0.092;0.147;0.707;0.640;3.201;3.726;3.424
285;0.005700;0.112;0.147;0.663;0.641;3.627;3.728;3.423
286;0.005720;0.131;0.148;0.628;0.643;4.089;3.730;3.426
287;0.005740;0.173;0.148;0.599;0.645;3.838;3.733;3.425
288;0.005760;0.291;0.148;0.628;0.646;3.389;3.735;3.420
289;0.005780;0.417;0.149;0.753;0.648;3.470;3.737;3.425
290;0.005800;0.349;0.149;0.817;0.650;3.977;3.739;3.427
291;0.005820;0.276;0.149;0.778;0.651;3.453;3.741;3.425
292;0.005840;0.265;0.150;0.723;0.653;3.256;3.743;3.425
293;0.005860;0.309;0.150;0.716;0.654;2.734;3.745;3.426
294;0.005880;0.288;0.151;0.692;0.656;2.908;3.746;3.424
295;0.005900;0.191;0.151;0.626;0.657;3.876;3.748;3.425
296;0.005920;0.174;0.151;0.591;0.659;3.472;3.749;3.424
297;0.005940;0.154;0.152;0.590;0.660;3.442;3.751;3.423
298;0.005960;0.156;0.152;0.573;0.661;3.801;3.752;3.424
299;0.005980;0.146;0.153;0.542;0.663;3.433;3.754;3.423
300;0.006000;0.146;0.153;0.542;0.664;3.234;3.755;3.424
301;0.006020;0.149;0.154;0.560;0.665;2.926;3.756;3.426
302;0.006040;0.141;0.154;0.549;0.667;2.529;3.757;3.427
303;0.006060;0.177;0.154;0.562;0.668;2.344;3.758;3.423
304;0.006080;0.204;0.155;0.667;0.669;2.587;3.758;3.424
305;0.006100;0.228;0.155;0.800;0.670;2.864;3.759;3.425
306;0.006120;0.251;0.155;0.923;0.671;2.886;3.759;3.423
307;0.006140;0.225;0.156;1.014;0.672;2.813;3.759;3.422
308;0.006160;0.222;0.156;1.108;0.674;2.926;3.759;3.424
309;0.006180;0.227;0.157;1.190;0.675;2.672;3.759;3.425
310;0.006200;0.218;0.157;1.289;0.676;2.428;3.758;3.424
311;0.006220;0.203;0.157;1.386;0.677;2.254;3.758;3.424
312;0.006240;0.197;0.158;1.397;0.679;2.177;3.757;3.425
313;0.006260;0.205;0.158;1.368;0.680;2.234;3.756;3.428
314;0.006280;0.201;0.159;1.307;0.682;2.320;3.755;3.425
315;0.006300;0.166;0.159;1.245;0.684;1.976;3.753;3.424
316;0.006320;0.169;0.160;1.146;0.685;1.895;3.752;3.427
317;0.006340;0.155;0.160;1.029;0.687;2.421;3.750;3.423
318;0.006360;0.136;0.160;0.947;0.689;2.745;3.747;3.422
319;0.006380;0.138;0.161;0.899;0.691;2.682;3.745;3.425
320;0.006400;0.163;0.161;0.895;0.693;2.721;3.743;3.425
321;0.006420;0.219;0.161;1.022;0.694;2.644;3.740;3.426
322;0.006440;0.181;0.162;1.111;0.696;2.271;3.738;3.423
323;0.006460;0.168;0.162;1.099;0.698;2.199;3.735;3.423
324;0.006480;0.226;0.162;1.159;0.700;2.397;3.732;3.425
325;0.006500;0.228;0.163;1.214;0.702;2.256;3.729;3.424
326;0.006520;0.182;0.163;1.208;0.704;2.444;3.725;3.424
327;0.006540;0.183;0.164;1.194;0.706;2.981;3.722;3.425
328;0.006560;0.196;0.164;1.187;0.708;3.212;3.718;3.424
329;0.006580;0.190;0.164;1.190;0.710;3.093;3.715;3.425
330;0.006600;0.180;0.165;1.203;0.712;2.944;3.711;3.424
331;0.006620;0.185;0.165;1.216;0.714;2.536;3.708;3.423
332;0.006640;0.169;0.165;1.168;0.717;2.759;3.704;3.426
333;0.006660;0.169;0.166;1.115;0.719;3.354;3.700;3.426
334;0.006680;0.190;0.166;1.075;0.721;3.100;3.696;3.422
335;0.006700;0.195;0.166;1.066;0.724;3.069;3.692;3.425
336;0.006720;0.201;0.167;1.102;0.726;3.085;3.688;3.426
337;0.006740;0.185;0.167;1.084;0.728;2.712;3.685;3.423
338;0.006760;0.190;0.167;1.106;0.731;2.758;3.681;3.423
339;0.006780;0.208;0.168;1.194;0.733;2.613;3.676;3.425
340;0.006800;0.228;0.168;1.265;0.735;2.637;3.672;3.423
341;0.006820;0.198;0.168;1.298;0.738;3.301;3.668;3.423
342;0.006840;0.165;0.169;1.339;0.740;3.929;3.664;3.424
343;0.006860;0.185;0.169;1.342;0.743;3.186;3.660;3.426
344;0.006880;0.163;0.169;1.300;0.745;2.708;3.656;3.427
345;0.006900;0.129;0.170;1.229;0.748;3.589;3.651;3.425
346;0.006920;0.127;0.170;1.172;0.750;3.049;3.647;3.425
347;0.006940;0.115;0.170;1.057;0.753;2.981;3.643;3.427
348;0.006960;0.108;0.170;0.969;0.756;4.398;3.639;3.422
349;0.006980;0.095;0.171;0.899;0.758;4.446;3.635;3.422
350;0.007000;0.111;0.171;0.861;0.761;4.037;3.631;3.423
351;0.007020;0.131;0.171;0.842;0.764;3.873;3.628;3.424
352;0.007040;0.115;0.171;0.776;0.766;3.865;3.624;3.422
353;0.007060;0.097;0.172;0.694;0.769;4.341;3.621;3.424
354;0.007080;0.097;0.172;0.661;0.771;4.259;3.617;3.425
355;0.007100;0.104;0.172;0.626;0.774;4.299;3.614;3.427
356;0.007120;0.114;0.172;0.566;0.776;3.955;3.611;3.424
357;0.007140;0.108;0.172;0.546;0.778;3.829;3.608;3.424
358;0.007160;0.125;0.172;0.566;0.780;3.948;3.605;3.423
359;0.007180;0.150;0.173;0.575;0.782;3.567;3.603;3.424
360;0.007200;0.124;0.173;0.562;0.785;3.525;3.600;3.421
361;0.007220;0.130;0.173;0.580;0.786;3.708;3.598;3.421
362;0.007240;0.166;0.173;0.610;0.788;3.790;3.595;3.424
363;0.007260;0.158;0.173;0.641;0.790;3.723;3.593;3.425
364;0.007280;0.129;0.173;0.663;0.792;4.200;3.590;3.424
365;0.007300;0.139;0.173;0.681;0.794;4.204;3.588;3.424
366;0.007320;0.135;0.173;0.692;0.795;3.788;3.586;3.426
367;0.007340;0.101;0.173;0.659;0.797;4.689;3.584;3.423
368;0.007360;0.089;0.173;0.579;0.799;5.057;3.582;3.422
369;0.007380;0.097;0.173;0.533;0.800;4.197;3.580;3.422
370;0.007400;0.116;0.173;0.511;0.802;4.363;3.579;3.423
371;0.007420;0.114;0.174;0.482;0.803;4.083;3.578;3.422
372;0.007440;0.103;0.174;0.487;0.804;4.054;3.576;3.422
373;0.007460;0.117;0.174;0.524;0.806;4.107;3.575;3.423
374;0.007480;0.142;0.174;0.546;0.807;3.922;3.574;3.425
375;0.007500;0.163;0.174;0.555;0.808;4.074;3.573;3.423
376;0.007520;0.126;0.174;0.536;0.809;4.336;3.572;3.423
377;0.007540;0.156;0.173;0.573;0.810;4.028;3.572;3.423
378;0.007560;0.156;0.173;0.608;0.811;4.211;3.571;3.424
379;0.007580;0.148;0.173;0.595;0.812;4.156;3.571;3.424
380;0.007600;0.157;0.173;0.591;0.813;4.539;3.570;3.423
381;0.007620;0.170;0.173;0.624;0.813;3.627;3.570;3.423
382;0.007640;0.200;0.173;0.674;0.814;3.461;3.570;3.426
383;0.007660;0.305;0.173;0.754;0.815;3.342;3.569;3.423
384;0.007680;0.255;0.173;0.817;0.816;3.118;3.569;3.423
385;0.007700;0.236;0.173;0.842;0.816;3.430;3.569;3.424
386;0.007720;0.231;0.173;0.820;0.817;2.948;3.568;3.424
387;0.007740;0.236;0.173;0.784;0.818;3.323;3.568;3.424
388;0.007760;0.285;0.173;0.791;0.818;3.162;3.567;3.423
389;0.007780;0.283;0.173;0.798;0.819;3.373;3.567;3.425
390;0.007800;0.291;0.174;0.798;0.819;3.192;3.566;3.425
391;0.007820;0.266;0.174;0.826;0.820;2.560;3.566;3.423
