Configuration: 0703
Duration: 0.300 s
Sample Rate: 50 kHz
ConfigID: 7
Comment: 
MeasurementID: 355
Result: NOK
Date: 8/28/2020 2:54:46 PM
User Comment: 
Index;Time;P Raw;P Eps;T Raw;T Eps;BR Raw;BR Eps;AN Power
0;0.000000;0.005;0.000;0.011;0.000;0.011;0.000;1.446
1;0.000020;0.006;0.000;0.013;0.000;0.020;0.000;3.498
2;0.000040;0.006;0.000;0.011;0.000;0.040;0.000;3.432
3;0.000060;0.005;0.000;0.009;0.000;0.013;0.000;3.390
4;0.000080;0.006;0.000;0.011;0.000;0.013;0.000;3.432
5;0.000100;0.005;0.000;0.013;0.000;0.031;0.000;3.418
6;0.000120;0.006;0.000;0.011;0.000;0.053;0.000;3.423
7;0.000140;0.005;0.000;0.009;0.000;0.018;0.000;3.423
8;0.000160;0.005;0.000;0.011;0.000;0.011;0.000;3.422
9;0.000180;0.006;0.000;0.013;0.000;0.022;0.000;3.422
10;0.000200;0.006;0.000;0.011;0.000;0.031;0.000;3.424
11;0.000220;0.005;0.000;0.009;0.000;0.007;0.000;3.425
12;0.000240;0.005;0.000;0.011;0.000;0.731;0.000;3.423
13;0.000260;0.053;0.000;0.013;0.000;10.463;0.001;3.423
14;0.000280;0.113;0.000;0.009;0.000;8.090;0.003;3.425
15;0.000300;0.143;0.000;0.211;0.000;5.891;0.005;3.423
16;0.000320;0.135;0.000;0.271;0.000;5.145;0.009;3.422
17;0.000340;0.133;0.000;0.319;0.000;4.548;0.014;3.423
18;0.000360;0.126;0.000;0.326;0.001;4.995;0.019;3.424
19;0.000380;0.112;0.000;0.297;0.001;5.651;0.025;3.427
20;0.000400;0.096;0.001;0.256;0.001;5.938;0.032;3.424
21;0.000420;0.104;0.001;0.240;0.001;4.927;0.039;3.425
22;0.000440;0.130;0.001;0.242;0.002;4.900;0.047;3.425
23;0.000460;0.154;0.001;0.212;0.002;4.689;0.056;3.422
24;0.000480;0.080;0.001;0.170;0.002;4.034;0.066;3.421
25;0.000500;0.056;0.001;0.161;0.003;4.102;0.075;3.421
26;0.000520;0.062;0.002;0.154;0.003;3.957;0.086;3.424
27;0.000540;0.095;0.002;0.161;0.003;3.898;0.096;3.424
28;0.000560;0.128;0.002;0.240;0.004;3.721;0.107;3.424
29;0.000580;0.150;0.002;0.335;0.004;4.263;0.119;3.427
30;0.000600;0.140;0.003;0.363;0.005;3.774;0.131;3.428
31;0.000620;0.118;0.003;0.357;0.005;4.395;0.143;3.424
32;0.000640;0.094;0.003;0.377;0.006;5.012;0.156;3.423
33;0.000660;0.103;0.004;0.432;0.007;5.098;0.169;3.423
34;0.000680;0.102;0.004;0.445;0.007;5.755;0.183;3.423
35;0.000700;0.086;0.004;0.406;0.008;5.094;0.197;3.421
36;0.000720;0.070;0.004;0.397;0.009;4.601;0.212;3.421
37;0.000740;0.090;0.005;0.383;0.010;4.255;0.227;3.424
38;0.000760;0.107;0.005;0.364;0.011;4.290;0.243;3.425
39;0.000780;0.088;0.005;0.381;0.012;4.217;0.259;3.425
40;0.000800;0.109;0.006;0.430;0.013;3.671;0.276;3.427
41;0.000820;0.092;0.006;0.430;0.014;3.878;0.292;3.427
42;0.000840;0.084;0.007;0.394;0.015;3.880;0.309;3.426
43;0.000860;0.107;0.007;0.432;0.016;4.404;0.326;3.422
44;0.000880;0.123;0.007;0.516;0.017;4.827;0.344;3.421
45;0.000900;0.102;0.008;0.527;0.018;4.955;0.362;3.423
46;0.000920;0.115;0.008;0.507;0.019;5.186;0.380;3.422
47;0.000940;0.096;0.009;0.496;0.021;4.763;0.399;3.422
48;0.000960;0.070;0.009;0.465;0.022;4.979;0.418;3.425
49;0.000980;0.097;0.009;0.445;0.024;4.737;0.437;3.427
50;0.001000;0.078;0.010;0.416;0.025;4.623;0.457;3.423
51;0.001020;0.055;0.010;0.364;0.027;5.024;0.477;3.423
52;0.001040;0.074;0.011;0.348;0.028;4.781;0.498;3.423
53;0.001060;0.115;0.011;0.375;0.030;5.017;0.519;3.425
54;0.001080;0.096;0.012;0.370;0.031;4.819;0.540;3.423
55;0.001100;0.064;0.012;0.352;0.033;4.603;0.561;3.422
56;0.001120;0.087;0.012;0.348;0.034;4.589;0.583;3.425
57;0.001140;0.105;0.013;0.357;0.036;4.400;0.605;3.424
58;0.001160;0.104;0.013;0.379;0.038;4.078;0.627;3.422
59;0.001180;0.133;0.014;0.456;0.039;4.100;0.649;3.424
60;0.001200;0.131;0.014;0.516;0.041;4.481;0.671;3.424
61;0.001220;0.115;0.015;0.511;0.043;4.614;0.694;3.425
62;0.001240;0.081;0.015;0.480;0.045;4.149;0.717;3.424
63;0.001260;0.088;0.016;0.454;0.047;5.057;0.740;3.423
64;0.001280;0.111;0.016;0.469;0.048;4.850;0.763;3.426
65;0.001300;0.125;0.017;0.476;0.050;4.285;0.786;3.425
66;0.001320;0.145;0.017;0.482;0.052;4.422;0.810;3.422
67;0.001340;0.186;0.018;0.524;0.054;5.032;0.834;3.426
68;0.001360;0.183;0.018;0.573;0.056;4.872;0.858;3.426
69;0.001380;0.182;0.019;0.562;0.058;4.021;0.882;3.422
70;0.001400;0.145;0.020;0.551;0.060;3.928;0.906;3.423
71;0.001420;0.153;0.020;0.560;0.063;4.543;0.931;3.426
72;0.001440;0.134;0.021;0.544;0.065;4.885;0.955;3.425
73;0.001460;0.094;0.021;0.493;0.067;4.341;0.980;3.427
74;0.001480;0.061;0.022;0.432;0.069;4.799;1.004;3.424
75;0.001500;0.103;0.022;0.403;0.072;4.398;1.029;3.423
76;0.001520;0.128;0.023;0.375;0.074;4.292;1.054;3.427
77;0.001540;0.121;0.024;0.352;0.076;4.433;1.079;3.422
78;0.001560;0.158;0.024;0.337;0.078;4.356;1.104;3.422
79;0.001580;0.174;0.025;0.353;0.081;4.404;1.130;3.426
80;0.001600;0.136;0.026;0.346;0.083;4.424;1.155;3.426
81;0.001620;0.108;0.026;0.331;0.085;3.992;1.180;3.424
82;0.001640;0.141;0.027;0.399;0.088;3.904;1.205;3.426
83;0.001660;0.132;0.027;0.472;0.090;3.704;1.231;3.424
84;0.001680;0.146;0.028;0.493;0.092;3.505;1.256;3.425
85;0.001700;0.136;0.029;0.494;0.095;3.788;1.281;3.424
