Configuration: 0703
Duration: 0.300 s
Sample Rate: 50 kHz
ConfigID: 7
Comment: 
MeasurementID: 352
Result: NOK
Date: 8/28/2020 2:37:30 PM
User Comment: 
Index;Time;P Raw;P Eps;T Raw;T Eps;BR Raw;BR Eps;AN Power
0;0.000000;0.006;0.000;0.011;0.000;0.015;0.000;2.352
1;0.000020;0.006;0.000;0.011;0.000;0.011;0.000;3.602
2;0.000040;0.006;0.000;0.013;0.000;0.022;0.000;3.372
3;0.000060;0.006;0.000;0.011;0.000;0.046;0.000;3.415
4;0.000080;0.005;0.000;0.009;0.000;0.015;0.000;3.430
5;0.000100;0.005;0.000;0.011;0.000;0.013;0.000;3.419
6;0.000120;0.006;0.000;0.013;0.000;0.029;0.000;3.423
7;0.000140;0.006;0.000;0.011;0.000;0.049;0.000;3.424
8;0.000160;0.005;0.000;0.009;0.000;0.009;0.000;3.424
9;0.000180;0.005;0.000;0.011;0.000;0.009;0.000;3.423
10;0.000200;0.006;0.000;0.011;0.000;0.044;0.000;3.424
11;0.000220;0.006;0.000;0.011;0.000;0.015;0.000;3.425
12;0.000240;0.005;0.000;0.011;0.000;3.728;0.000;3.425
13;0.000260;0.038;0.000;0.013;0.000;8.342;0.001;3.424
14;0.000280;0.075;0.000;0.135;0.000;5.786;0.003;3.423
15;0.000300;0.070;0.000;0.167;0.000;5.629;0.006;3.425
16;0.000320;0.070;0.000;0.172;0.000;4.199;0.009;3.425
17;0.000340;0.073;0.000;0.189;0.000;4.162;0.014;3.422
18;0.000360;0.111;0.000;0.229;0.001;4.356;0.018;3.424
19;0.000380;0.129;0.000;0.273;0.001;4.232;0.024;3.427
20;0.000400;0.082;0.000;0.262;0.001;4.034;0.030;3.427
21;0.000420;0.103;0.001;0.238;0.001;4.089;0.036;3.425
22;0.000440;0.072;0.001;0.227;0.001;3.981;0.043;3.425
23;0.000460;0.047;0.001;0.207;0.002;4.016;0.051;3.425
24;0.000480;0.056;0.001;0.161;0.002;3.827;0.059;3.422
25;0.000500;0.081;0.001;0.165;0.002;4.243;0.067;3.423
26;0.000520;0.132;0.001;0.216;0.003;4.221;0.076;3.424
27;0.000540;0.125;0.001;0.255;0.003;3.739;0.085;3.424
28;0.000560;0.086;0.002;0.262;0.003;3.415;0.095;3.423
29;0.000580;0.085;0.002;0.284;0.004;4.146;0.105;3.425
30;0.000600;0.078;0.002;0.317;0.004;4.215;0.116;3.424
31;0.000620;0.100;0.002;0.353;0.005;3.734;0.127;3.425
32;0.000640;0.110;0.002;0.397;0.006;3.517;0.138;3.423
33;0.000660;0.062;0.003;0.392;0.006;2.853;0.150;3.423
34;0.000680;0.066;0.003;0.357;0.007;3.587;0.162;3.426
35;0.000700;0.065;0.003;0.333;0.008;3.799;0.174;3.424
36;0.000720;0.073;0.003;0.342;0.008;3.647;0.187;3.422
37;0.000740;0.085;0.004;0.386;0.009;3.413;0.200;3.424
38;0.000760;0.098;0.004;0.406;0.010;3.281;0.213;3.426
39;0.000780;0.071;0.004;0.344;0.011;3.018;0.227;3.424
40;0.000800;0.061;0.004;0.317;0.012;3.206;0.241;3.423
41;0.000820;0.080;0.005;0.357;0.013;3.362;0.254;3.425
42;0.000840;0.074;0.005;0.375;0.014;3.937;0.269;3.426
43;0.000860;0.077;0.005;0.363;0.015;3.466;0.283;3.425
44;0.000880;0.067;0.006;0.342;0.016;3.270;0.298;3.423
45;0.000900;0.062;0.006;0.341;0.017;4.265;0.313;3.424
46;0.000920;0.077;0.006;0.333;0.018;3.933;0.328;3.426
47;0.000940;0.051;0.007;0.297;0.019;4.039;0.344;3.424
48;0.000960;0.065;0.007;0.293;0.020;3.803;0.360;3.425
49;0.000980;0.076;0.007;0.297;0.022;4.006;0.376;3.426
50;0.001000;0.074;0.008;0.297;0.023;3.904;0.392;3.425
51;0.001020;0.063;0.008;0.262;0.024;4.085;0.409;3.425
52;0.001040;0.064;0.008;0.251;0.025;3.488;0.426;3.425
53;0.001060;0.083;0.009;0.266;0.027;3.710;0.443;3.427
54;0.001080;0.073;0.009;0.253;0.028;3.082;0.460;3.426
55;0.001100;0.053;0.009;0.220;0.029;3.486;0.478;3.423
56;0.001120;0.060;0.010;0.238;0.031;4.222;0.496;3.424
57;0.001140;0.065;0.010;0.227;0.032;4.243;0.513;3.426
58;0.001160;0.059;0.010;0.198;0.033;4.008;0.532;3.425
59;0.001180;0.057;0.011;0.201;0.034;3.600;0.550;3.425
60;0.001200;0.075;0.011;0.212;0.036;3.873;0.569;3.426
61;0.001220;0.079;0.011;0.216;0.037;3.732;0.587;3.426
62;0.001240;0.070;0.012;0.214;0.039;3.287;0.606;3.426
63;0.001260;0.064;0.012;0.240;0.040;3.323;0.625;3.426
64;0.001280;0.069;0.012;0.262;0.041;3.677;0.644;3.426
65;0.001300;0.085;0.013;0.269;0.043;2.725;0.663;3.427
66;0.001320;0.052;0.013;0.222;0.044;2.532;0.683;3.426
67;0.001340;0.036;0.014;0.194;0.045;3.433;0.702;3.422
68;0.001360;0.078;0.014;0.212;0.047;4.404;0.721;3.426
69;0.001380;0.088;0.014;0.216;0.048;4.175;0.741;3.428
70;0.001400;0.068;0.015;0.198;0.049;2.725;0.760;3.424
71;0.001420;0.054;0.015;0.218;0.051;2.988;0.780;3.425
72;0.001440;0.099;0.015;0.258;0.052;3.424;0.799;3.427
73;0.001460;0.093;0.016;0.262;0.054;3.728;0.819;3.425
74;0.001480;0.100;0.016;0.273;0.055;3.397;0.839;3.425
75;0.001500;0.103;0.017;0.302;0.056;2.785;0.859;3.425
76;0.001520;0.113;0.017;0.322;0.058;3.569;0.879;3.426
77;0.001540;0.122;0.017;0.328;0.059;3.175;0.898;3.427
78;0.001560;0.084;0.018;0.298;0.061;2.796;0.918;3.424
79;0.001580;0.100;0.018;0.313;0.062;4.420;0.938;3.424
80;0.001600;0.109;0.019;0.328;0.064;4.125;0.958;3.427
81;0.001620;0.097;0.019;0.295;0.065;3.448;0.978;3.424
82;0.001640;0.081;0.020;0.258;0.067;3.479;0.999;3.424
83;0.001660;0.079;0.020;0.267;0.068;3.457;1.019;3.426
84;0.001680;0.137;0.021;0.284;0.070;3.078;1.039;3.425
85;0.001700;0.124;0.021;0.271;0.071;3.726;1.059;3.424
86;0.001720;0.100;0.021;0.284;0.073;4.129;1.080;3.424
87;0.001740;0.123;0.022;0.311;0.074;3.646;1.100;3.426
88;0.001760;0.112;0.022;0.302;0.076;3.290;1.120;3.427
89;0.001780;0.085;0.023;0.276;0.077;3.580;1.141;3.425
90;0.001800;0.099;0.023;0.278;0.079;3.882;1.161;3.422
91;0.001820;0.114;0.024;0.289;0.080;3.649;1.182;3.425
92;0.001840;0.125;0.024;0.295;0.082;3.195;1.202;3.426
93;0.001860;0.138;0.025;0.311;0.084;3.230;1.223;3.423
94;0.001880;0.155;0.025;0.348;0.085;2.904;1.243;3.425
95;0.001900;0.134;0.026;0.363;0.087;2.869;1.264;3.425
