Configuration: 0703
Duration: 0.300 s
Sample Rate: 50 kHz
ConfigID: 7
Comment: 
MeasurementID: 345
Result: NOK
Date: 8/28/2020 1:59:16 PM
User Comment: 
Index;Time;P Raw;P Eps;T Raw;T Eps;BR Raw;BR Eps;AN Power
0;0.000000;0.005;0.000;0.013;0.000;0.020;0.000;3.110
1;0.000020;0.006;0.000;0.011;0.000;0.060;0.000;3.531
2;0.000040;0.006;0.000;0.009;0.000;0.009;0.000;3.365
3;0.000060;0.006;0.000;0.011;0.000;0.011;0.000;3.429
4;0.000080;0.006;0.000;0.011;0.000;0.029;0.000;3.422
5;0.000100;0.006;0.000;0.011;0.000;0.027;0.000;3.420
6;0.000120;0.005;0.000;0.009;0.000;0.013;0.000;3.423
7;0.000140;0.005;0.000;0.013;0.000;0.016;0.000;3.422
8;0.000160;0.014;0.000;0.011;0.000;0.035;0.000;3.421
9;0.000180;0.006;0.000;0.011;0.000;0.035;0.000;3.423
10;0.000200;0.005;0.000;0.009;0.000;0.013;0.000;3.424
11;0.000220;0.008;0.000;0.011;0.000;0.016;0.000;3.422
12;0.000240;0.017;0.000;0.013;0.000;7.346;0.001;3.422
13;0.000260;0.112;0.000;0.011;0.000;7.667;0.002;3.424
14;0.000280;0.147;0.000;0.212;0.000;4.526;0.004;3.423
15;0.000300;0.138;0.000;0.298;0.000;5.696;0.007;3.421
16;0.000320;0.135;0.000;0.399;0.000;4.810;0.011;3.426
17;0.000340;0.172;0.000;0.445;0.000;4.728;0.015;3.422
18;0.000360;0.147;0.000;0.427;0.001;5.804;0.021;3.422
19;0.000380;0.151;0.001;0.408;0.001;5.978;0.027;3.424
20;0.000400;0.180;0.001;0.405;0.001;5.490;0.034;3.423
21;0.000420;0.211;0.001;0.394;0.002;5.164;0.041;3.424
22;0.000440;0.224;0.001;0.361;0.002;4.717;0.049;3.426
23;0.000460;0.193;0.001;0.344;0.003;5.237;0.058;3.423
24;0.000480;0.168;0.002;0.355;0.003;5.479;0.068;3.424
25;0.000500;0.179;0.002;0.331;0.004;5.632;0.078;3.425
26;0.000520;0.123;0.002;0.289;0.005;6.345;0.089;3.423
27;0.000540;0.104;0.003;0.278;0.005;5.363;0.100;3.423
28;0.000560;0.149;0.003;0.330;0.006;4.993;0.113;3.426
29;0.000580;0.161;0.003;0.361;0.007;4.841;0.125;3.424
30;0.000600;0.199;0.004;0.419;0.007;5.010;0.139;3.423
31;0.000620;0.202;0.004;0.496;0.008;5.026;0.153;3.425
32;0.000640;0.192;0.005;0.538;0.009;4.468;0.167;3.424
33;0.000660;0.164;0.005;0.544;0.010;4.211;0.182;3.425
34;0.000680;0.156;0.005;0.588;0.011;3.935;0.197;3.423
35;0.000700;0.157;0.006;0.608;0.012;3.580;0.212;3.424
36;0.000720;0.151;0.006;0.623;0.013;4.360;0.228;3.426
37;0.000740;0.148;0.007;0.639;0.015;4.501;0.244;3.424
38;0.000760;0.104;0.007;0.634;0.016;4.384;0.261;3.422
39;0.000780;0.114;0.008;0.590;0.017;4.528;0.278;3.427
40;0.000800;0.127;0.008;0.546;0.019;4.497;0.295;3.425
41;0.000820;0.094;0.009;0.509;0.020;4.349;0.312;3.423
42;0.000840;0.095;0.010;0.487;0.022;4.431;0.330;3.425
43;0.000860;0.109;0.010;0.502;0.024;4.488;0.348;3.425
44;0.000880;0.100;0.011;0.522;0.025;4.360;0.367;3.424
45;0.000900;0.090;0.011;0.511;0.027;4.389;0.386;3.425
46;0.000920;0.117;0.012;0.549;0.029;4.576;0.405;3.425
47;0.000940;0.125;0.012;0.577;0.031;4.717;0.424;3.424
48;0.000960;0.115;0.013;0.540;0.032;5.041;0.444;3.428
49;0.000980;0.096;0.014;0.494;0.034;5.195;0.464;3.422
50;0.001000;0.125;0.014;0.496;0.036;4.946;0.485;3.424
51;0.001020;0.121;0.015;0.498;0.038;4.682;0.506;3.427
52;0.001040;0.089;0.015;0.472;0.040;4.270;0.527;3.424
53;0.001060;0.106;0.016;0.439;0.042;4.180;0.548;3.424
54;0.001080;0.103;0.017;0.434;0.044;4.241;0.570;3.426
55;0.001100;0.096;0.017;0.454;0.046;4.219;0.592;3.425
56;0.001120;0.125;0.018;0.450;0.049;3.805;0.614;3.425
57;0.001140;0.096;0.018;0.412;0.051;4.151;0.636;3.425
58;0.001160;0.067;0.019;0.403;0.053;5.171;0.658;3.424
59;0.001180;0.097;0.020;0.412;0.055;5.566;0.680;3.425
60;0.001200;0.109;0.020;0.388;0.057;4.988;0.703;3.425
61;0.001220;0.099;0.021;0.370;0.060;4.440;0.726;3.422
62;0.001240;0.122;0.021;0.390;0.062;5.063;0.750;3.423
63;0.001260;0.141;0.022;0.410;0.064;4.986;0.773;3.427
64;0.001280;0.101;0.023;0.408;0.066;5.356;0.797;3.424
65;0.001300;0.079;0.023;0.401;0.069;4.730;0.821;3.424
66;0.001320;0.121;0.024;0.427;0.071;4.576;0.846;3.425
67;0.001340;0.157;0.025;0.439;0.073;4.316;0.870;3.424
68;0.001360;0.127;0.025;0.432;0.075;4.656;0.895;3.425
69;0.001380;0.143;0.026;0.414;0.078;4.924;0.920;3.423
70;0.001400;0.126;0.027;0.439;0.080;5.358;0.944;3.425
71;0.001420;0.111;0.027;0.472;0.082;5.123;0.970;3.426
72;0.001440;0.114;0.028;0.443;0.085;4.872;0.995;3.425
73;0.001460;0.118;0.028;0.438;0.087;4.585;1.021;3.424
74;0.001480;0.125;0.029;0.461;0.090;4.979;1.046;3.424
75;0.001500;0.139;0.030;0.463;0.092;4.184;1.072;3.426
76;0.001520;0.173;0.031;0.476;0.094;4.537;1.098;3.424
77;0.001540;0.155;0.031;0.511;0.097;5.023;1.124;3.424
